Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,54.099998,54.700001,53.630001,53.910000,53.510296,58991600
2019-09-23,53.910000,54.639999,53.880001,54.310001,53.907333,44797800
2019-09-30,54.150002,54.779999,52.820000,54.540001,54.135628,61526700
2019-10-07,54.330002,54.360001,53.200001,53.299999,52.904819,44326400
2019-10-14,53.490002,55.389999,53.130001,54.779999,54.373844,58638100
2019-10-21,54.450001,54.820000,53.669998,53.750000,53.351482,51702700
2019-10-28,53.740002,54.740002,53.160000,53.900002,53.500370,49357500
2019-11-04,53.959999,54.000000,51.959999,52.209999,51.822899,68954900
2019-11-11,52.330002,52.680000,51.580002,52.669998,52.279488,50755800
2019-11-18,52.680000,53.439999,52.669998,53.029999,52.636818,55401200
2019-11-25,53.279999,54.099998,52.770000,53.400002,53.004078,41000800
2019-12-02,53.320000,54.500000,52.849998,54.419998,54.419998,63207700
2019-12-09,54.299999,54.549999,53.660000,54.419998,54.419998,56065700
2019-12-16,54.689999,54.830002,54.369999,54.419998,54.419998,9538100
